stock_no,product_size,cost,product_type,buy_date,product_name
512,9.51,421.69,furniture,2017-06-17,dining table
513,1.53,449.24,clothing,2020-01-06,trousers
514,1.61,286.18,furniture,2017-09-06,press
515,5.87,995.8,food,2021-11-14,noodles
516,4.03,104.68,food,2017-12-07,sauce
517,1.63,135.81,clothing,2019-03-31,socks
518,7.44,378.78,clothing,2015-09-24,tie
519,2.72,295.47,food,2018-04-08,bread
520,4.76,701.81,food,2018-05-07,noodles
521,4.04,739.56,furniture,2015-07-28,cot
522,4.51,179.67,clothing,2018-09-09,tie
523,9.47,403.03,furniture,2016-06-23,cot
524,4.21,356.03,furniture,2020-02-02,sofa
525,2.22,755.27,clothing,2018-08-29,t-shirt
526,4.09,329.33,clothing,2018-12-21,t-shirt
527,9.91,164.29,food,2021-04-24,ice cream
528,6.27,998.68,food,2019-08-03,rice
529,7.9,181.93,food,2016-08-29,whey
530,1.01,450.6,furniture,2015-10-21,chair
531,7.71,790.86,furniture,2019-11-06,cot
532,5.62,778.83,food,2020-12-30,yoghurt
533,2.77,600.11,furniture,2018-09-03,chair
534,2.1,225.64,clothing,2016-10-27,trousers
535,9.28,447.0,food,2019-01-24,noodles
536,2.77,486.29,food,2019-05-06,yoghurt
537,4.19,202.17,clothing,2017-05-05,underwear
538,7.81,260.26,clothing,2019-12-31,tie
539,4.42,703.09,food,2017-06-25,chicken
540,9.4,220.67,furniture,2015-11-06,sofa
541,8.81,428.29,food,2018-09-19,quinoa
542,7.85,79.47,food,2019-07-04,bread
543,1.99,267.98,clothing,2021-07-10,dress
544,1.44,927.42,furniture,2017-09-02,bed
545,2.53,387.55,furniture,2018-10-22,chair
546,4.7,850.03,furniture,2017-02-27,press
547,1.23,953.67,food,2020-12-11,beef
548,1.18,87.3,clothing,2021-01-17,t-shirt
549,1.68,244.73,furniture,2017-01-08,bed
550,4.94,646.51,food,2019-07-09,ice cream
551,8.75,407.12,furniture,2019-11-09,chair
552,2.55,152.04,furniture,2018-07-05,shelves
553,8.07,266.23,food,2017-05-01,wrap
554,7.58,477.29,food,2021-03-30,chicken
555,0.21,549.1,furniture,2019-08-31,dining table
556,6.08,821.14,food,2017-08-27,roll
557,0.91,736.43,food,2015-12-16,quinoa
558,4.81,511.35,clothing,2021-05-26,shirt
559,3.66,763.76,furniture,2021-10-24,chair
560,3.35,702.35,furniture,2020-12-23,cot
561,3.63,316.81,food,2019-12-10,whey
562,2.87,836.93,food,2020-09-06,rice
563,0.3,766.34,clothing,2018-03-01,tie
564,7.85,975.4,clothing,2021-08-04,dress
565,8.3,550.95,food,2018-08-31,roll
566,6.38,966.3,clothing,2016-12-13,underwear
567,0.26,725.55,food,2021-10-01,chicken
568,3.54,414.52,furniture,2019-11-02,cot
569,4.65,813.64,clothing,2020-08-31,trousers
570,2.33,566.01,furniture,2020-05-28,shelves
571,2.96,371.83,clothing,2018-10-25,dress
572,8.3,30.54,furniture,2017-05-11,bed
573,2.6,438.19,furniture,2020-12-21,press
574,4.39,760.48,clothing,2018-10-26,underwear
575,7.97,841.19,clothing,2021-10-08,dress
576,4.7,452.54,clothing,2021-07-12,t-shirt
577,8.33,372.18,furniture,2020-04-08,chair
578,2.76,746.1,food,2021-05-23,sauce
579,4.67,318.95,furniture,2018-03-28,cot
580,6.29,209.65,food,2016-11-12,whey
581,0.17,171.48,food,2020-06-03,yoghurt
582,4.43,166.53,furniture,2019-08-04,chair
